digits,accuracy,Precision,Recall,F-Score,Support
 , ,0.19626168224299065,1.0,0.328125,21.0
 , ,0.1349206349206349,1.0,0.23776223776223776,17.0
 , ,0.23728813559322035,1.0,0.3835616438356164,28.0
 , ,0.08527131782945736,1.0,0.15714285714285714,11.0
 , ,0.29545454545454547,1.0,0.456140350877193,39.0
 , ,0.18333333333333332,1.0,0.30985915492957744,22.0
 , ,0.08256880733944955,1.0,0.15254237288135594,9.0
 , ,0.12396694214876033,1.0,0.22058823529411764,15.0
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.5,0.59898904802021902,0.60103295589849015,0.91835334476843911,0.66278948783886471,118.7
Dados por classe
 , ,1.0,0.1835334476843911,0.3101449275362319,583.0
 , ,0.7627118644067796,1.0,0.8653846153846153,90.0
 , ,0.5607476635514018,1.0,0.7185628742514969,60.0
 , ,0.49206349206349204,1.0,0.6595744680851063,62.0
 , ,0.6779661016949152,1.0,0.8080808080808081,80.0
 , ,0.3798449612403101,1.0,0.550561797752809,49.0
 , ,0.7954545454545454,1.0,0.8860759493670886,105.0
 , ,0.5833333333333334,1.0,0.7368421052631579,70.0
 , ,0.3119266055045872,1.0,0.4755244755244756,34.0
 , ,0.4462809917355372,1.0,0.6171428571428571,54.0
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.6,0.8618365627632687,0.86105703863755545,0.93562884984005668,0.87725957866133819,118.7
Dados por classe
 , ,1.0,0.40225563909774437,0.5737265415549598,266.0
 , ,0.9576271186440678,0.9741379310344828,0.9658119658119658,116.0
 , ,0.8317757009345794,1.0,0.9081632653061225,89.0
 , ,0.7698412698412699,0.9897959183673469,0.8660714285714286,98.0
 , ,0.9067796610169492,1.0,0.9511111111111111,107.0
 , ,0.8062015503875969,1.0,0.8927038626609441,104.0
 , ,0.9696969696969697,1.0,0.9846153846153847,128.0
 , ,0.9,1.0,0.9473684210526316,108.0
 , ,0.6422018348623854,1.0,0.7821229050279329,70.0
 , ,0.8264462809917356,0.9900990099009901,0.900900900900901,101.0
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.7,0.94860994102780116,0.94876626282069521,0.95487829400866675,0.94893935435112142,118.7
Dados por classe
 , ,1.0,0.7181208053691275,0.8359375,149.0
 , ,0.9830508474576272,0.9586776859504132,0.9707112970711298,121.0
 , ,0.9719626168224299,1.0,0.985781990521327,104.0
 , ,0.8968253968253969,0.9826086956521739,0.9377593360995851,115.0
 , ,0.9491525423728814,0.9911504424778761,0.9696969696969698,113.0
 , ,0.9612403100775194,0.992,0.9763779527559056,125.0
 , ,0.9772727272727273,1.0,0.9885057471264368,129.0
 , ,0.9583333333333334,0.9829059829059829,0.970464135021097,117.0
 , ,0.8807339449541285,0.9411764705882353,0.909952606635071,102.0
 , ,0.9090909090909091,0.9821428571428571,0.944206008583691,112.0
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.8,0.97556866048862678,0.97573594646713002,0.97513667958017147,0.97527114374333923,118.7
Dados por classe
 , ,1.0,0.9553571428571429,0.9771689497716896,112.0
 , ,0.9915254237288136,0.9590163934426229,0.9749999999999999,122.0
 , ,0.9906542056074766,1.0,0.9953051643192489,106.0
 , ,0.9365079365079365,0.9833333333333333,0.9593495934959351,120.0
 , ,0.9830508474576272,0.9914529914529915,0.9872340425531915,117.0
 , ,0.9844961240310077,0.9844961240310077,0.9844961240310077,129.0
 , ,0.9924242424242424,1.0,0.9961977186311787,131.0
 , ,0.9833333333333333,0.9752066115702479,0.979253112033195,121.0
