digits,accuracy,Precision,Recall,F-Score,Support
 , ,0.4205607476635514,1.0,0.5921052631578948,45.0
 , ,0.2777777777777778,1.0,0.4347826086956522,35.0
 , ,0.4491525423728814,1.0,0.6198830409356725,53.0
 , ,0.20155038759689922,1.0,0.33548387096774196,26.0
 , ,0.49242424242424243,1.0,0.6598984771573604,65.0
 , ,0.35,1.0,0.5185185185185185,42.0
 , ,0.13761467889908258,1.0,0.24193548387096775,15.0
 , ,0.21487603305785125,1.0,0.35374149659863946,26.0
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.5,0.75063184498736313,0.75145645309494147,0.92655086848635226,0.79040004145570963,118.7
Dados por classe
 , ,1.0,0.2655086848635236,0.4196078431372549,403.0
 , ,0.8728813559322034,1.0,0.9321266968325792,103.0
 , ,0.7663551401869159,1.0,0.8677248677248678,82.0
 , ,0.6190476190476191,1.0,0.7647058823529412,78.0
 , ,0.847457627118644,1.0,0.9174311926605504,100.0
 , ,0.6356589147286822,1.0,0.7772511848341233,82.0
 , ,0.8787878787878788,1.0,0.9354838709677419,116.0
 , ,0.825,1.0,0.9041095890410958,99.0
 , ,0.44954128440366975,1.0,0.6202531645569621,49.0
 , ,0.6198347107438017,1.0,0.7653061224489797,75.0
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.6,0.92417860151642794,0.92409367273574561,0.94952996864052674,0.92863780977383958,118.7
Dados por classe
 , ,1.0,0.5661375661375662,0.722972972972973,189.0
 , ,0.9745762711864406,0.9745762711864406,0.9745762711864406,118.0
 , ,0.9158878504672897,1.0,0.9560975609756098,98.0
 , ,0.8492063492063492,0.981651376146789,0.9106382978723404,109.0
 , ,0.9576271186440678,1.0,0.9783549783549783,113.0
 , ,0.9147286821705426,1.0,0.9554655870445344,118.0
 , ,0.9696969696969697,1.0,0.9846153846153847,128.0
 , ,0.9666666666666667,0.9914529914529915,0.9789029535864978,117.0
 , ,0.8165137614678899,1.0,0.898989898989899,89.0
 , ,0.8760330578512396,0.9814814814814815,0.9257641921397379,108.0
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.7,0.96798652064026958,0.96815254964895436,0.96769075576870056,0.96743997117575109,118.7
Dados por classe
 , ,1.0,0.8916666666666667,0.9427312775330398,120.0
 , ,0.9830508474576272,0.9586776859504132,0.9707112970711298,121.0
 , ,0.9906542056074766,1.0,0.9953051643192489,106.0
 , ,0.9206349206349206,0.9830508474576272,0.9508196721311476,118.0
 , ,0.9915254237288136,0.9915254237288136,0.9915254237288136,118.0
 , ,0.9844961240310077,0.9769230769230769,0.9806949806949806,130.0
 , ,0.9848484848484849,1.0,0.9923664122137404,130.0
 , ,0.975,0.975,0.975,120.0
 , ,0.9174311926605505,0.9259259259259259,0.9216589861751153,108.0
 , ,0.9338842975206612,0.9741379310344828,0.9535864978902953,116.0
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.8,0.97472620050547598,0.97453487944037498,0.97429327124122644,0.97433688140902996,118.7
Dados por classe
 , ,1.0,0.981651376146789,0.9907407407407407,109.0
 , ,0.9830508474576272,0.9586776859504132,0.9707112970711298,121.0
 , ,0.9906542056074766,1.0,0.9953051643192489,106.0
 , ,0.9444444444444444,0.9834710743801653,0.9635627530364373,121.0
 , ,0.9915254237288136,0.9915254237288136,0.9915254237288136,118.0
 , ,0.9844961240310077,0.9769230769230769,0.9806949806949806,130.0
 , ,1.0,1.0,1.0,132.0
 , ,0.9833333333333333,0.9752066115702479,0.979253112033195,121.0
 , ,0.9174311926605505,0.9090909090909091,0.9132420091324202,110.0
 , ,0.9504132231404959,0.9663865546218487,0.9583333333333334,119.0
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.9,0.97641112047177758,0.97628564396636874,0.97623035615798026,0.97617858447459283,118.7
Dados por classe
 , ,1.0,1.0,1.0,107.0
 , ,0.9830508474576272,0.9586776859504132,0.9707112970711298,121.0
 , ,0.9906542056074766,1.0,0.9953051643192489,106.0
 , ,0.9444444444444444,0.9834710743801653,0.9635627530364373,121.0
 , ,0.9915254237288136,0.9915254237288136,0.9915254237288136,118.0
 , ,0.9844961240310077,0.9769230769230769,0.9806949806949806,130.0
 , ,1.0,1.0,1.0,132.0
 , ,0.9916666666666667,0.9754098360655737,0.9834710743801653,122.0
 , ,0.926605504587156,0.9099099099099099,0.9181818181818182,111.0
 , ,0.9504132231404959,0.9663865546218487,0.9583333333333334,119.0
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 1.0,0.97641112047177758,0.97628564396636874,0.97623035615798026,0.97617858447459283,118.7
Dados por classe
 , ,1.0,1.0,1.0,107.0
 , ,0.9830508474576272,0.9586776859504132,0.9707112970711298,121.0
 , ,0.9906542056074766,1.0,0.9953051643192489,106.0
 , ,0.9444444444444444,0.9834710743801653,0.9635627530364373,121.0
 , ,0.9915254237288136,0.9915254237288136,0.9915254237288136,118.0
 , ,0.9844961240310077,0.9769230769230769,0.9806949806949806,130.0
 , ,1.0,1.0,1.0,132.0
 , ,0.9916666666666667,0.9754098360655737,0.9834710743801653,122.0
 , ,0.926605504587156,0.9099099099099099,0.9181818181818182,111.0
 , ,0.9504132231404959,0.9663865546218487,0.9583333333333334,119.0
